id,date,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17
1865972,2021-01-19,Yeni tikili,11 / 16,132 m²,3,var,175 000AZN,vasitəçi (agent),TƏCİLİ SATILIR !!! Xətai metrosunun yanında yeni tikilmiş 16 mertebeli binanın 11-ci mertebesinde 3 otaqlı təmirsiz (podmayak) menzil satılır . Bina tam yaşayışlı ve QAZLI+KUPÇALI-dır . Ətraflı məlumat üçün əlaqə saxlaya bilərsiniz .,35,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,
1865971,2021-01-19,Yeni tikili,3 / 5,30 m²,2,var,63 000AZN,vasitəçi (agent),"Tecili olaraq Goz klinikasinin yanida 1-2 duzelme temirli temirden sora yasayis olmayib,yolun ustundeki bina esyalariyla bir yerde satilir herbir serayiti var,qaz kupca elave melumat ucun zeng edin",25,"Zərifə Əliyeva adına park 
"," Nəsimi m.
"," Nəsimi r.
"," 5-ci mikrorayon q.
",,,,
1865970,2021-01-19,Yeni tikili,10 / 16,111 m²,3,var,145 000AZN,vasitəçi (agent),"TECILI SATILIR !!! Xetai metrosunun yaninda yeni tikilmis 16 mertebeli binanin 10-cu mertebesinde 2 otaqli temirsiz (podmayak) menzil satilir . Menzilin proyekti yaxsi oldugu ucun cox rahatliqla 3 otaqa duzeltmek mumkundur . Bina tam yasayisli ve QAZLI+KUPCALi-dir . Usaq meydancasi , yeralti ve yerustu avto dayanacagi , 24 saat muhafize xidmeti var . Etrafli melumat ucun elaqe saxlaya bilersiniz .",36,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,
1853874,2021-01-19,Yeni tikili,15 / 18,165 m²,3,var,210 000AZN,vasitəçi (agent),Nərimanovda şuşa restoranı 165 cavabları yaxşı təmirli qaz su işıq dayimidir qaz kupca 24 saat mühafizə yeraltı qarajı sigma liftləri çox təcili satılır,21,"Nəriman Nərimanov parkı 
"," Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,
1860340,2021-01-19,Yeni tikili,7 / 16,132 m²,4,yoxdur,170 000AZN,vasitəçi (agent),"                 TƏCİLİ SATIIR!
Yeni yasamalda, yeni tikili binada 3 otağ peredelka 4-də cox keyfiyyət və zövglü mənzil satılır.Təmirdən sonra yaşayış olmayıb.",26,"Yasamal r.
",,,,,,,
1865968,2021-01-19,Yeni tikili,11 / 16,76.6 m²,2,var,145 000AZN,mülkiyyətçi,"Yeni Yasamalda Esed Ehmedov kucesi, 77 nomreli avtobusun son dayanacaginda 2 otaqli ela temirli oz evimi satiram. Bina Laguna Mtk-ya aiddi, bunovreden ozum almisham, temir ozum ucun elemishem. Evin qazi ve kupcasi var! Tam kenar dairevi yolun uzerindedi ve sheherin her bir yerine bu yolnan cixmaq olur,qeti tixac gormursen. Binamizin tam altinda Bizim Marketdi, ve etrafa her bir dukan magazalar movcuddur. Beyendiyim yerde olsa kupcali heyet evinen barter ederem. Xahis edirem yalniz ciddi shexsler narahat etsin, Artiq derecede xahis edirem mushterisi olan maklerler zeng elesin,boshu boshuna qeyd aparmaq ucun zeng edib narahat elemeyin! Qiymetde endirim olacaq, ev bosh yada butun eshyali satilir, eshyali qiymeti ferqli olacaq!",503,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,
1865967,2021-01-19,Yeni tikili,8 / 17,131 m²,3,var,250 000AZN,vasitəçi (agent),Xetaide Neptun marketin yaninda yeni tikilmis 17 mertebeli binanin 8-ci mertebesinde 3 otaqli yaxsi temirli menzil satilir . Bina tam yasayisli ve QAZLI+KUPCALI-dir . Menzil mebellerle birlikde satilir . Etrafli melumat ucun elaqe saxlaya bilersiniz .,13,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,
1865966,2021-01-19,Yeni tikili,14 / 18,73 m²,3,var,75 000AZN,vasitəçi (agent),"Neapol kuruqu yaxınlığında, 1 otaqdan 3 otağa düzəlmiş, 73 kv, 14/18  təmirli mənzil satılır. Qaz kupça var. Dənizə və şəhərə gözəl ponorama. start qiymət 75000 azn 
5002",30,"Xətai r.
",,,,,,,
1865965,2021-01-19,Yeni tikili,3 / 21,160 m²,3,var,280 000AZN,vasitəçi (agent),"Xetai metrosunun yaxinliginda yeni tikilmis 21 mertebeli binanin 3-cu mertebesinde 3 otaqli ela temirli menzil satilir . Bina tam yasayisli ve QAZLI+KUPCALI-dir . Usaq meydancasi , yeralti ve yerustu avto dayanacagi , 24 saat muhafize xidmeti var . Etrafli melumat ucun elaqe saxlaya bilersiniz .",11,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,
1865964,2021-01-19,Yeni tikili,6 / 17,236 m²,4,var,500 000AZN,vasitəçi (agent),"QAZLI, KUPÇALI YENİ TİKİLİDƏ!!!

Şəhərin mərkəzi küçələrindən birində, Ş.Mehdiyev küçəsində, tanınmış tikinti kompaniyasının inşa etdiyi  yeni tikilidə  4 otaqlı TƏMİRSİZ-POD MAYAK MƏNZİL  satılır. 17/6-cı  mərtəbəsində yerləşir. Ümumi sahəsi 236 kv.m-dir. Geniş , hündür tavanlı otaqlar, plastik pəncərlər…sanitar qovşağı, eyvanı….daimi qazı, işığı, suyu, 24 saat mühafizə xidməti, yeraltı dayanacağı, avto parkinqi....Binanın yerləşdiyi ərazi infrastruktur cəhətdən çox genişdir. Yanında, Elmlər Akademiyası metrosu, avtobus dayanacağı, ali təhsil ocaqları, məktəb, uşaq bağçası, mağazalar şəbəkəsi, müxtəlif iaşə obyektləri fəaliyyət göstərir. Daha ətraflı məlumat üçün əlaqə saxlaya bilərsiniz. 
------------------------------------------------------------------------------------
НОВОСТРОЙКА С ГАЗОМ И КУПЧЕЙ!!!
Продается в одном из центральных улиц нашего города, по улице  Ш.Мехтиева, около метро Элимляр Академиясы, построенной известной строительной компанией, заселенной  новостройке 4 -х комнатная квартира БЕЗ РЕМОНТА-ПОД МАЯК.  17/6, общая площадь 236 кв.м. Просторные комнаты, высокие потолки, пластиковые окна.. санузлы... свет, газ, вода постоянно,  скоростные лифты, подземный гараж, видео наблюдение… Развитая инфраструктура-рядом школа, детский сад, автобусные остановки,  метро, магазины, маркеты итд…ПОДРОБНЕЕ ПО ТЕЛЕФОНУ. 
",28,"Elmlər Akademiyası m.
"," Hüseyn Cavid parkı 
"," Yasamal r.
",,,,,
1865963,2021-01-19,Yeni tikili,19 / 20,136 m²,3,var,220 000AZN,vasitəçi (agent),"TECILI SATILIR !!! Ali mehkemenin yaninda yeni tikilmis (ALYANS MTK-da) 20 mertebeli binanin 19-cu mertebesinde 3 otaqli temirsiz (podmayak) menzil satilir . Bina tam yasayisli ve QAZLI+KUPCALI-dir . Genis usaq meydancasi , yeralti ve yerustu avto dayanacagi , 24 saat muhafize xidmeti var . Menzil muqavileyle satilir . Etrafli melumat ucun elaqe saxlaya bilersiniz .",18,"Şah İsmayıl Xətai m.
"," Cavanşir körpüsü 
"," Xətai r.
",,,,,
1865962,2021-01-19,Yeni tikili,5 / 16,74 m²,2,yoxdur,103 000AZN,vasitəçi (agent),"Tecili Deyerinden awagi  satilir
1+1 otaq  temire bawlaya bilersiz 
Yola baxir 
Endirim olunacaq
Semawkanin yaxinligi",27,"Tibb Universiteti 
"," Nəsimi r.
",,,,,,
